"Gene","Module"
"A1BG","grey"
"A2M","grey"
"A2ML1","grey"
"A4GALT","blue"
"AAAS","turquoise"
"AACS","turquoise"
"AADAC","brown"
"AADACL2","brown"
"AADAT","grey"
"AAGAB","turquoise"
"AAK1","turquoise"
"AAMDC","turquoise"
"AAMP","blue"
"AAR2","turquoise"
"AARS2","blue"
"AARSD1","blue"
"AASDH","turquoise"
"AASDHPPT","turquoise"
"AASS","turquoise"
"AATF","turquoise"
"AATK","blue"
"ABAT","grey"
"ABCA1","turquoise"
"ABCA10","red"
"ABCA12","turquoise"
"ABCA13","grey"
"ABCA2","blue"
"ABCA3","blue"
"ABCA4","grey"
"ABCA5","turquoise"
"ABCA6","grey"
"ABCA7","blue"
"ABCA9","grey"
"ABCB10","turquoise"
"ABCB11","brown"
"ABCB6","blue"
"ABCB7","turquoise"
"ABCB8","blue"
"ABCB9","blue"
"ABCC1","blue"
"ABCC10","blue"
"ABCC11","grey"
"ABCC2","turquoise"
"ABCC3","grey"
"ABCC4","turquoise"
"ABCC5","turquoise"
"ABCC6","blue"
"ABCC9","grey"
"ABCD1","blue"
"ABCD2","yellow"
"ABCD3","turquoise"
"ABCD4","blue"
"ABCE1","turquoise"
"ABCF1","black"
"ABCF2","turquoise"
"ABCF3","blue"
"ABCG1","grey"
"ABCG2","turquoise"
"ABHD10","turquoise"
"ABHD11","blue"
"ABHD12","blue"
"ABHD12B","grey"
"ABHD13","turquoise"
"ABHD14A","blue"
"ABHD14A-ACY1","grey"
"ABHD14B","blue"
"ABHD15","turquoise"
"ABHD16A","black"
"ABHD16B","yellow"
"ABHD17A","blue"
"ABHD17B","turquoise"
"ABHD17C","turquoise"
"ABHD2","turquoise"
"ABHD3","turquoise"
"ABHD4","blue"
"ABHD5","turquoise"
"ABHD6","turquoise"
"ABHD8","blue"
"ABI1","turquoise"
"ABI2","turquoise"
"ABI3BP","grey"
"ABL1","blue"
"ABL2","turquoise"
"ABLIM1","turquoise"
"ABLIM2","blue"
"ABLIM3","grey"
"ABO","brown"
"ABR","blue"
"ABRACL","turquoise"
"ABT1","turquoise"
"ABTB1","blue"
"ABTB2","blue"
"ACAA1","blue"
"ACAA2","turquoise"
"ACACA","turquoise"
"ACACB","blue"
"ACAD10","turquoise"
"ACAD11","turquoise"
"ACAD8","turquoise"
"ACAD9","turquoise"
"ACADL","green"
"ACADM","turquoise"
"ACADS","blue"
"ACADSB","turquoise"
"ACADVL","blue"
"ACAP1","blue"
"ACAP2","turquoise"
"ACAP3","blue"
"ACAT1","turquoise"
"ACAT2","turquoise"
"ACBD3","turquoise"
"ACBD4","blue"
"ACBD5","turquoise"
"ACBD6","turquoise"
"ACBD7","turquoise"
"ACCS","turquoise"
"ACD","blue"
"ACE","blue"
"ACE2","grey"
"ACER2","turquoise"
"ACER3","turquoise"
"ACHE","blue"
"ACIN1","turquoise"
"ACKR2","grey"
"ACKR3","grey"
"ACKR4","grey"
"ACLY","turquoise"
"ACO1","turquoise"
"ACO2","blue"
"ACOT1","blue"
"ACOT11","turquoise"
"ACOT13","turquoise"
"ACOT2","turquoise"
"ACOT4","turquoise"
"ACOT7","blue"
"ACOT8","blue"
"ACOT9","turquoise"
"ACOX1","turquoise"
"ACOX2","grey"
"ACOX3","turquoise"
"ACOXL","grey"
"ACP1","turquoise"
"ACP2","blue"
"ACP5","grey"
"ACP6","turquoise"
"ACRBP","grey"
"ACSBG1","grey"
"ACSF2","blue"
"ACSF3","blue"
"ACSL1","turquoise"
"ACSL3","turquoise"
"ACSL4","turquoise"
"ACSL5","turquoise"
"ACSL6","grey"
"ACSM1","brown"
"ACSM3","turquoise"
"ACSS1","blue"
"ACSS2","turquoise"
"ACSS3","grey"
"ACTA2","grey"
"ACTB","blue"
"ACTBL2","brown"
"ACTG1","turquoise"
"ACTL6A","turquoise"
"ACTN1","blue"
"ACTN4","blue"
"ACTR10","turquoise"
"ACTR1A","turquoise"
"ACTR1B","blue"
"ACTR2","turquoise"
"ACTR3","turquoise"
"ACTR3B","turquoise"
"ACTR3C","grey"
"ACTR5","turquoise"
"ACTR6","turquoise"
"ACTR8","turquoise"
"ACTRT3","red"
"ACVR1","turquoise"
"ACVR1B","turquoise"
"ACVR1C","grey"
"ACVR2A","turquoise"
"ACVR2B","turquoise"
"ACVRL1","grey"
"ACY1","blue"
"ACY3","brown"
"ACYP1","turquoise"
