"","ME6","ME4","ME5","ME7","ME3","ME1","ME2","ME0"
"Asp_high_1_S123.bam",-0.266855787297883,-0.122213676904385,-0.138180112766791,-0.00813337336421387,0.0210870805142218,0.035150427868904,0.0068287823025279,-0.0340023192769736
"Asp_high_2_S116.bam",-0.263713561382849,-0.122417216093388,-0.138580661312462,-0.00509558982732224,0.0243806186648954,0.0350414586650836,0.0189017231565493,-0.0277763088306947
"Asp_high_3_S94.bam",-0.26787376318676,-0.12316733843994,-0.14499832704158,-0.012663942792171,0.0171318370377344,-0.00622446764908813,0.0109546916173709,-0.061250710146779
"Asp_medium_1_S131.bam",-0.253076880184762,-0.123143431430788,-0.127967518251074,0.024570573573961,0.0307521553115954,0.0823717589627656,0.0645992998280952,0.0331050787588411
"Asp_medium_2_S98.bam",-0.259804415910313,-0.121845943281013,-0.126966998605978,0.0313904390153801,0.034528512753072,0.092890082870687,0.0766764861983592,0.0557845382004548
"Asp_medium_3_S111.bam",-0.259277067030551,-0.123287784326213,-0.127146907366645,0.0285543436627812,0.0319065381961322,0.0837972255276295,0.0685930945170702,0.0409850194829079
"Control_1_S87.bam",-0.251191123387287,-0.119737467308795,-0.129923130533191,0.0375809199704945,0.0345617221337497,0.0951530988083702,0.0767926500231415,0.0614433632600229
"Control_2_S132.bam",-0.243615239708368,-0.1213999084262,-0.126093648548373,0.0343245049096117,0.035922374206959,0.0903109179393198,0.07396373253406,0.057289317186297
"Control_3_S99.bam",-0.257499435025909,-0.121248854874397,-0.126872328288727,0.035670572793875,0.0346068532911047,0.0930528326790583,0.072400835838608,0.0617150380168385
"GSM3955249",-0.0152831043447248,-0.125911304792991,-0.0906319508466089,-0.219298792370746,0.0673408345729154,0.094443454282554,0.0665035850852619,0.0314884853450279
"GSM3955250",-0.0481005070382385,-0.129402982598169,-0.110850672822447,-0.20879324277928,0.0531117626427196,0.069926595288891,0.0582013722535202,-0.0151559165379596
"GSM3955254",0.0328017724520328,-0.111729882828974,-0.0513646665133792,-0.217811431449469,0.0791664747781816,0.0948836935085862,0.0716982894086065,0.085578292216365
"GSM3955245",0.0264369687312879,-0.106890901871766,-0.0834909635734313,-0.213225670428221,0.00539192483340991,0.0640913415970453,0.0508757679056339,0.0284139242879535
"GSM3955244",-0.0484827486733053,-0.129892240526263,-0.114167907402906,-0.21893699803473,0.0513466770073695,0.0658811031965878,0.0529767807137227,-0.0248168299889241
"GSM3955247",0.0280987662834106,-0.106957295634945,-0.0583816882929463,-0.219656299484595,0.0696353944877377,0.0726825263511068,0.0520544638647811,0.0774414545268715
"GSM3955253",0.0220306463157422,-0.11104413439137,-0.0602157636576121,-0.243404869543141,0.0653078658303042,0.0739968531619833,0.0558137358027472,0.0635833888659309
"GSM3955248",0.0219348531695074,-0.114726265910073,-0.0615510491700181,-0.2109735503264,0.0757065498512562,0.0734929907623086,0.0591890785327941,0.0712077339939268
"GSM3955246",0.0378388015429112,-0.107603705252142,-0.0856142717238267,-0.194569558551306,0.00563503706788036,0.0757454019091235,0.0627860214026427,0.0316550826174451
"GSM3955243",-0.0160019366168715,-0.1290174672759,-0.0944913039539931,-0.224312978644389,0.0664804109022467,0.090795080045974,0.0683330595953363,0.0293861363616748
"GSM3955251",0.05234921097588,-0.0985665724962008,-0.0729606480402017,-0.205285589843458,0.00824782548033032,0.0831063851780556,0.071352562306191,0.068244902273915
"GSM3955252",0.0297507938062459,-0.106916709804971,-0.0877156455254676,-0.208390804225982,0.00466816328685269,0.069350295725334,0.0605592780301269,0.0262099989312959
"PTP_CSC_1",0.022499847745181,-0.135122280464115,-0.1631565441994,0.0647152008165587,-0.00313436059998945,0.0413928119459136,0.0678613496667816,0.0488448835766495
"PTP_CSC_2",0.0256675709235004,-0.136215181086754,-0.167642713523929,0.0592512301944383,-0.0083425922861271,0.0599884437808176,0.0495431150613727,0.0249621293637852
"PTP_CSC_3",0.0255880809268451,-0.134185343135741,-0.161604591860866,0.061686120379807,-0.0054632731780268,0.04386750022237,0.0680392759910739,0.054135425992123
"PTP_CSC_4",0.0293082258460168,-0.135079371039386,-0.165158120259114,0.0535719299902223,-0.0112819755225753,0.0560910874123964,0.0430414219428714,0.0254593388948723
"PTP_PET_1",0.0276805975488352,-0.133308861099518,-0.161193510623009,0.0608314974365656,1.19246702431711e-05,0.0543769289497097,0.0643673277183309,0.0564963189418559
"PTP_PET_2",0.0117945767310484,-0.131570378071027,-0.170948274125611,0.00701257818372055,-0.0117323235979076,0.0592102486013152,-0.013528818662373,0.000115867807392594
"PTP_PET_3",0.0148242138416899,-0.13347183876573,-0.171102273826892,0.0402283767903581,-0.0140939807094459,0.0531028927744098,0.0293759400153591,-0.00131866096480012
"PTP_PET_4",-0.0100659775763767,-0.133671651939102,-0.171451903892267,0.0339772968057488,-0.0143258713596425,0.0356436387874757,0.0189315202796142,-0.0351579256066727
"PTP_CTP_1",0.0300866003009206,-0.132690334532354,-0.159000482415473,0.0623131292340764,-0.000735105301813561,0.0560574038538135,0.0643971710361968,0.0666971019583165
"PTP_CTP_2",0.0209568983237842,-0.132375743500027,-0.167800534765131,0.0213667624112749,-0.0115605397484249,0.059996664387484,0.00726959677142641,0.00635193975470405
"PTP_CTP_3",0.0272507976233162,-0.133205262749134,-0.15870375513375,0.0615903787655413,-0.00438943860470674,0.0487563876664595,0.0642498412735521,0.0501957712666663
"PTP_CTP_4",0.0385082646168613,-0.134006812789032,-0.15721110178684,0.0485222655476455,-0.000126018497629981,0.0610401553323024,0.0574873913724427,0.0751742416054016
"GSM8841465",0.0151536744136975,-0.135516661389145,-0.160040489951782,0.0656374564546798,-0.00385072231439992,0.0497304750341813,0.0415002329332307,0.0344756848229548
"GSM8841466",0.0159060299535386,-0.134734035668719,-0.159672578685063,0.0653658000075038,-0.00194017933028332,0.0615542667340715,0.0218702332001327,0.0285165654457516
"GSM8841467",0.0159993235647807,-0.137378495000844,-0.163375864450652,0.0674065384214039,-0.00433650160466604,0.0515524219451789,0.0434431646080928,0.037214694978885
"GSM8841468",0.0157567361938269,-0.135948043026008,-0.161605971696555,0.0675808700549777,-0.00581112708574336,0.0513218080550927,0.0456628062170133,0.0380420662754241
"Donor1_P_FA_2hr",0.0492371242623441,-0.0778110375447562,0.0601172263660298,0.0697142405144596,0.191932252004102,0.0910548773481922,0.0640264022302269,0.106728888920655
"Donor1_P_O3_2hr",0.0373264748929305,-0.0809208481820924,0.0542009400239661,0.0672219933410641,0.18847416137246,0.0790873032321649,0.0633614402453193,0.0977450665907978
"Donor1_U_FA_2hr",0.0476971843714781,-0.082460400151903,0.0555014588327208,0.0684084416710729,0.192939908463711,0.0874136267855053,0.075427215098691,0.0941194108966339
"Donor1_U_O3_2hr",0.0526038693536084,-0.0788935722450915,0.0602712240026149,0.0703048351375648,0.19959573182035,0.0995993988178341,0.0788850340791725,0.107167631098792
"Donor2_P_FA_2hr",0.0429203133439379,-0.0727424403194556,0.0580181491305863,0.0716974411693558,0.18384610399761,0.0580050417669865,0.060691368762387,0.086814459040715
"Donor2_P_O3_2hr",0.0558628100139008,-0.0663463175609733,0.0718815960546879,0.0756412130528209,0.201095154457941,0.0894515888028051,0.0681782823299862,0.116209392627358
"Donor2_U_FA_2hr",0.0560108386954486,-0.0772557196706929,0.0596976524707611,0.062868045170863,0.194137871353968,0.0951224478660628,0.0737537991144769,0.101831416524746
"Donor2_U_O3_2hr",0.0364849468445246,-0.0858259801185668,0.0466731599526946,0.058540681738017,0.187032745834089,0.0642373944285482,0.0696665350754844,0.0790629037256835
"Donor3_P_FA_2hr",0.0457173627839633,-0.0804065387367151,0.0565730283064043,0.0641173817450857,0.193388500534615,0.0767415834813129,0.0641384629182943,0.104656744932434
"Donor3_P_O3_2hr",0.0501534471313073,-0.0788235821262224,0.0590784389988879,0.0683629420507109,0.194959400893043,0.0759302703877804,0.0727624440340356,0.108534307103398
