"Gene","Module"
"ABCD2","yellow"
"ABHD16B","yellow"
"ADAMTS19","yellow"
"AFF2","yellow"
"AKR1B10","yellow"
"ALK","yellow"
"ALX3","yellow"
"AMPH","yellow"
"ANKRD20A1","yellow"
"ANXA10","yellow"
"AQP4","yellow"
"ASIC2","yellow"
"ASXL3","yellow"
"ATP2B3","yellow"
"ATP6V0D2","yellow"
"ATP6V1G2-DDX39B","yellow"
"AVPR1A","yellow"
"B3GAT2","yellow"
"B3GNT3","yellow"
"BEX5","yellow"
"BHLHA15","yellow"
"BIVM-ERCC5","yellow"
"C1QL2","yellow"
"C1QTNF3-AMACR","yellow"
"CABP4","yellow"
"CACNA1F","yellow"
"CADM2","yellow"
"CBLN2","yellow"
"CCBE1","yellow"
"CCER2","yellow"
"CD180","yellow"
"CD200","yellow"
"CD226","yellow"
"CD300A","yellow"
"CD93","yellow"
"CDH12","yellow"
"CDH22","yellow"
"CDH7","yellow"
"CDSN","yellow"
"CEMP1","yellow"
"CFC1","yellow"
"CHRNE","yellow"
"CHRNG","yellow"
"CHST1","yellow"
"CHST13","yellow"
"CLIC3","yellow"
"CNGA3","yellow"
"CNKSR2","yellow"
"CNTNAP2","yellow"
"COL14A1","yellow"
"COL22A1","yellow"
"COL25A1","yellow"
"CORO2B","yellow"
"CPLX2","yellow"
"CRIP3","yellow"
"CRMP1","yellow"
"CRTAC1","yellow"
"CSRNP3","yellow"
"CTNNA2","yellow"
"CTTNBP2","yellow"
"CUZD1","yellow"
"CYBB","yellow"
"CYP2C8","yellow"
"DAB1","yellow"
"DACT2","yellow"
"DCT","yellow"
"DGKB","yellow"
"DIO1","yellow"
"DIRAS3","yellow"
"DNAJB7","yellow"
"DPP10","yellow"
"DPP6","yellow"
"DRD1","yellow"
"DTX1","yellow"
"ECEL1","yellow"
"EPHA6","yellow"
"EPX","yellow"
"ESRRG","yellow"
"EVA1B","yellow"
"EXOC3L4","yellow"
"FAM107A","yellow"
"FGFBP1","yellow"
"FLG","yellow"
"FOXA1","yellow"
"FOXL1","yellow"
"FSBP","yellow"
"FUT9","yellow"
"GABRB2","yellow"
"GABRB3","yellow"
"GABRQ","yellow"
