"Gene","Module","Functional_Role"
"ADAMTS19","yellow","Structural Integrity / Barrier Defense"
"ANXA10","yellow","Structural Integrity / Barrier Defense"
"CDH12","yellow","Structural Integrity / Barrier Defense"
"CDH22","yellow","Structural Integrity / Barrier Defense"
"CDH7","yellow","Structural Integrity / Barrier Defense"
"KRT13","yellow","Structural Integrity / Barrier Defense"
"KRT15","yellow","Structural Integrity / Barrier Defense"
"KRT16","yellow","Structural Integrity / Barrier Defense"
"KRT32","yellow","Structural Integrity / Barrier Defense"
"KRT40","yellow","Structural Integrity / Barrier Defense"
"PCDH17","yellow","Structural Integrity / Barrier Defense"
"PCDHA10","yellow","Structural Integrity / Barrier Defense"
"PCDHA11","yellow","Structural Integrity / Barrier Defense"
"PCDHA13","yellow","Structural Integrity / Barrier Defense"
"PCDHA3","yellow","Structural Integrity / Barrier Defense"
"PCDHA6","yellow","Structural Integrity / Barrier Defense"
"PCDHB3","yellow","Structural Integrity / Barrier Defense"
"PCDHB6","yellow","Structural Integrity / Barrier Defense"
"PCDHB7","yellow","Structural Integrity / Barrier Defense"
"PCDHGC4","yellow","Structural Integrity / Barrier Defense"
