"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0007156","homophilic cell adhesion via plasma memb...",132,15,2.78,"1.1e-07"
"GO:0060078","regulation of postsynaptic membrane pote...",92,14,1.94,"3.0e-07"
"GO:0034765","regulation of monoatomic ion transmembra...",291,18,6.12,"8.0e-06"
"GO:0046549","retinal cone cell development",5,3,0.11,"8.9e-05"
"GO:0019228","neuronal action potential",23,5,0.48,"9.8e-05"
"GO:0099505","regulation of presynaptic membrane poten...",13,4,0.27,"0.00012"
"GO:0007158","neuron cell-cell adhesion",13,4,0.27,"0.00012"
"GO:0016339","calcium-dependent cell-cell adhesion via...",38,6,0.8,"0.00013"
"GO:0023041","neuronal signal transduction",6,3,0.13,"0.00018"
"GO:0045109","intermediate filament organization",41,6,0.86,"0.00020"
"GO:0048704","embryonic skeletal system morphogenesis",63,6,1.33,"0.00026"
"GO:0035725","sodium ion transmembrane transport",129,9,2.71,"0.00037"
"GO:0030534","adult behavior",99,9,2.08,"0.00041"
"GO:2000300","regulation of synaptic vesicle exocytosi...",36,6,0.76,"0.00057"
"GO:2001222","regulation of neuron migration",36,5,0.76,"0.00057"
"GO:0060134","prepulse inhibition",9,3,0.19,"0.00070"
"GO:0035116","embryonic hindlimb morphogenesis",21,4,0.44,"0.00086"
"GO:0008544","epidermis development",284,13,5.98,"0.00107"
"GO:0060384","innervation",23,4,0.48,"0.00124"
"GO:0021675","nerve development",73,10,1.54,"0.00126"
"GO:0042481","regulation of odontogenesis",15,3,0.32,"0.00130"
"GO:0021942","radial glia guided migration of Purkinje...",3,2,0.06,"0.00130"
"GO:0007602","phototransduction",23,4,0.48,"0.00133"
"GO:0050808","synapse organization",367,27,7.72,"0.00182"
"GO:0051965","positive regulation of synapse assembly",43,5,0.9,"0.00199"
"GO:0050877","nervous system process",704,45,14.81,"0.00202"
"GO:0031284","positive regulation of guanylate cyclase...",4,2,0.08,"0.00257"
"GO:2001199","negative regulation of dendritic cell di...",4,2,0.08,"0.00257"
"GO:0007188","adenylate cyclase-modulating G protein-c...",114,10,2.4,"0.00268"
"GO:0071625","vocalization behavior",14,3,0.29,"0.00282"
"GO:0007268","chemical synaptic transmission",511,36,10.75,"0.00283"
"GO:0050908","detection of light stimulus involved in ...",15,3,0.32,"0.00347"
"GO:0071294","cellular response to zinc ion",15,3,0.32,"0.00347"
"GO:0045664","regulation of neuron differentiation",142,12,2.99,"0.00356"
"GO:0050804","modulation of chemical synaptic transmis...",347,24,7.3,"0.00362"
"GO:0007423","sensory organ development",406,13,8.54,"0.00415"
"GO:0042297","vocal learning",5,2,0.11,"0.00423"
"GO:0071420","cellular response to histamine",5,2,0.11,"0.00423"
"GO:2000311","regulation of AMPA receptor activity",17,3,0.36,"0.00503"
"GO:0007218","neuropeptide signaling pathway",35,5,0.74,"0.00534"
"GO:0007275","multicellular organism development",3445,115,72.49,"0.00560"
"GO:0038092","nodal signaling pathway",13,4,0.27,"0.00617"
"GO:0038007","netrin-activated signaling pathway",6,2,0.13,"0.00626"
"GO:0060079","excitatory postsynaptic potential",75,8,1.58,"0.00637"
"GO:0035176","social behavior",36,4,0.76,"0.00665"
"GO:0034220","monoatomic ion transmembrane transport",705,37,14.83,"0.00672"
"GO:0099560","synaptic membrane adhesion",19,3,0.4,"0.00695"
"GO:0009952","anterior/posterior pattern specification",143,8,3.01,"0.00698"
"GO:0030514","negative regulation of BMP signaling pat...",37,4,0.78,"0.00733"
"GO:0044331","cell-cell adhesion mediated by cadherin",38,4,0.8,"0.00800"
