"","ME6","ME4","ME5","ME7","ME3","ME1","ME2","ME0"
"Asp_high_1_S123.bam",-0.266855787297884,-0.122213676904387,-0.138180112766791,-0.00813337336421261,0.0210870805142339,0.035150427868904,0.00682878230252794,-0.0340023192769736
"Asp_high_2_S116.bam",-0.263713561382849,-0.122417216093388,-0.138580661312462,-0.00509558982732201,0.0243806186648974,0.0350414586650841,0.0189017231565497,-0.0277763088306947
"Asp_high_3_S94.bam",-0.26787376318676,-0.12316733843994,-0.14499832704158,-0.0126639427921713,0.0171318370377361,-0.0062244676490881,0.0109546916173708,-0.0612507101467787
"Asp_medium_1_S131.bam",-0.253076880184762,-0.123143431430788,-0.127967518251074,0.0245705735739608,0.0307521553115972,0.0823717589627655,0.0645992998280952,0.0331050787588412
"Asp_medium_2_S98.bam",-0.259804415910313,-0.121845943281013,-0.126966998605978,0.0313904390153799,0.0345285127530743,0.0928900828706873,0.0766764861983592,0.0557845382004549
"Asp_medium_3_S111.bam",-0.259277067030551,-0.123287784326213,-0.127146907366645,0.0285543436627811,0.0319065381961344,0.0837972255276294,0.0685930945170702,0.040985019482908
"Control_1_S87.bam",-0.251191123387287,-0.119737467308795,-0.129923130533191,0.0375809199704944,0.0345617221337518,0.0951530988083701,0.0767926500231415,0.0614433632600229
"Control_2_S132.bam",-0.243615239708368,-0.1213999084262,-0.126093648548373,0.0343245049096116,0.0359223742069611,0.0903109179393197,0.07396373253406,0.0572893171862971
"Control_3_S99.bam",-0.257499435025909,-0.121248854874397,-0.126872328288727,0.0356705727938749,0.034606853291107,0.0930528326790582,0.0724008358386079,0.0617150380168386
"GSM3955249",-0.015283104344725,-0.125911304792991,-0.0906319508466091,-0.219298792370745,0.0673408345729155,0.0944434542825539,0.0665035850852619,0.031488485345028
"GSM3955250",-0.0481005070382388,-0.12940298259817,-0.110850672822447,-0.20879324277928,0.0531117626427193,0.069926595288891,0.0582013722535201,-0.0151559165379596
"GSM3955254",0.0328017724520328,-0.111729882828975,-0.0513646665133793,-0.217811431449469,0.0791664747781811,0.0948836935085863,0.0716982894086065,0.0855782922163651
"GSM3955245",0.0264369687312881,-0.106890901871766,-0.0834909635734311,-0.213225670428221,0.00539192483340976,0.0640913415970453,0.0508757679056339,0.0284139242879535
"GSM3955244",-0.0484827486733053,-0.129892240526263,-0.114167907402906,-0.21893699803473,0.0513466770073697,0.0658811031965877,0.0529767807137228,-0.0248168299889242
"GSM3955247",0.0280987662834105,-0.106957295634945,-0.0583816882929462,-0.219656299484595,0.0696353944877373,0.0726825263511068,0.0520544638647811,0.0774414545268715
"GSM3955253",0.0220306463157424,-0.11104413439137,-0.0602157636576119,-0.243404869543141,0.0653078658303039,0.0739968531619832,0.0558137358027472,0.063583388865931
"GSM3955248",0.0219348531695077,-0.114726265910073,-0.061551049170018,-0.210973550326401,0.0757065498512561,0.0734929907623084,0.0591890785327941,0.0712077339939267
"GSM3955246",0.0378388015429112,-0.107603705252142,-0.0856142717238268,-0.194569558551306,0.00563503706788018,0.0757454019091235,0.0627860214026427,0.0316550826174451
"GSM3955243",-0.0160019366168716,-0.1290174672759,-0.094491303953993,-0.224312978644389,0.0664804109022469,0.090795080045974,0.0683330595953363,0.0293861363616749
"GSM3955251",0.0523492109758803,-0.0985665724962013,-0.0729606480402017,-0.205285589843457,0.00824782548033014,0.0831063851780555,0.071352562306191,0.0682449022739151
"GSM3955252",0.0297507938062459,-0.106916709804971,-0.0877156455254677,-0.208390804225982,0.00466816328685254,0.0693502957253339,0.0605592780301269,0.0262099989312959
"PTP_CSC_1",0.0224998477451809,-0.135122280464116,-0.1631565441994,0.0647152008165587,-0.00313436059998954,0.0413928119459134,0.0678613496667816,0.0488448835766495
"PTP_CSC_2",0.0256675709235005,-0.136215181086754,-0.167642713523929,0.0592512301944383,-0.0083425922861272,0.0599884437808175,0.0495431150613728,0.0249621293637852
"PTP_CSC_3",0.0255880809268453,-0.134185343135741,-0.161604591860866,0.061686120379807,-0.00546327317802688,0.0438675002223701,0.0680392759910738,0.0541354259921231
"PTP_CSC_4",0.0293082258460169,-0.135079371039387,-0.165158120259113,0.0535719299902223,-0.0112819755225754,0.0560910874123963,0.0430414219428714,0.0254593388948724
"PTP_PET_1",0.0276805975488351,-0.133308861099518,-0.161193510623009,0.0608314974365656,1.192467024305e-05,0.0543769289497096,0.0643673277183309,0.0564963189418559
"PTP_PET_2",0.0117945767310485,-0.131570378071027,-0.170948274125611,0.00701257818372057,-0.0117323235979076,0.0592102486013151,-0.013528818662373,0.000115867807392595
"PTP_PET_3",0.0148242138416901,-0.13347183876573,-0.171102273826892,0.040228376790358,-0.0140939807094459,0.0531028927744098,0.029375940015359,-0.00131866096480007
"PTP_PET_4",-0.0100659775763764,-0.133671651939103,-0.171451903892267,0.0339772968057488,-0.0143258713596426,0.0356436387874756,0.0189315202796142,-0.0351579256066726
