"","kME4"
"CORO2B",0.95793932693293
"PRRT1",0.945287718024523
"CRMP1",0.937298182600987
"ZFR2",0.934982509854057
"CRTAC1",0.931543680266078
"SYN1",0.930104820021497
"DTX1",0.920555024528501
"TMEM151B",0.916330115007086
"OLFM1",0.911709062358899
"GRIK5",0.910617496158189
"WSCD2",0.901321351499826
"CPLX2",0.899547502194913
"CELF6",0.898059551344548
"CFC1",0.895184823750621
"HHATL",0.892270734906803
"KCNC3",0.892022350738102
"FAM107A",0.882469062236925
"GLT1D1",0.880215816999443
"SULT4A1",0.879229210189963
"PRAM1",0.870621357760097
"GNG3",0.866754951753652
"TAGLN3",0.866524841988868
"MROH7",0.866318213105353
"CACNA1F",0.865063217593482
"GPR37",0.863011337758993
"BEND5",0.857591773317147
"ATP2B3",0.857427683474609
"NTNG2",0.85685642348093
"TCERG1L",0.854624034007636
"ALK",0.852937675595799
"PRMT8",0.851727207258902
"LRFN2",0.850601486825875
"YPEL4",0.850104393812757
"SLC24A3",0.846995269251832
"SVOP",0.843625443797105
"NDN",0.840217033981476
"ASPHD2",0.838912436468056
"DPP6",0.834731284137959
"HIF3A",0.831205474060024
"VIPR2",0.828855874186156
"CCER2",0.826930375298597
"SRRM4",0.824148656109417
"GUCA1A",0.819809374017511
"MT3",0.81897427641634
"COL22A1",0.816326942206601
"ITIH5",0.814686340200992
"NEUROD2",0.813672541131328
"XKR7",0.810501244055174
"SLC32A1",0.808947128195771
"SLC6A17",0.805949060143982
"ATP6V1G2-DDX39B",0.801304730245412
"C1QL2",0.798912438865692
"IRX6",0.796846546062712
"GLB1L2",0.790514613956622
"CABP4",0.789573442771824
"NYAP1",0.789367637867637
"LMO1",0.787526564641171
"CRIP3",0.782558734212646
"STAC2",0.777324069055778
"SNRPN",0.76737164857376
"LONRF2",0.764925074821303
"PLCD4",0.763772396012223
"PCDHB6",0.762471330273091
"PRKCB",0.760432127912233
"RIMBP2",0.758055270949635
"CLDN5",0.7561633850048
"CBFA2T3",0.755297142780797
"CTNNA2",0.754425971079781
"PCDHAC2",0.753986649724108
"PCDHB7",0.752654304395121
"SKOR1",0.751974177422324
"DRD1",0.751249577480775
"ZNF135",0.749611068011706
"CSMD1",0.749368893306083
"MPPED1",0.749003983081853
"CNGA3",0.746730520273131
"SYCE1",0.745845940581336
"WIF1",0.744536288769163
"AMPH",0.74429183980996
"CTTNBP2",0.729812821609185
"GRIK1",0.727712483835602
"SHISA6",0.722377533096349
"SERINC4",0.715988491920786
"JAKMIP2",0.712407810057847
"ECEL1",0.711551072320257
"PRIMA1",0.711367518757719
"RNF144A",0.709956215577018
"NLGN4X",0.708794030756262
"SAP25",0.70709256761136
"BEX5",0.702165323129364
"CDH22",0.701495224867011
"OPCML",0.696094615705651
"PGAM2",0.695025256551915
"MEGF10",0.693790823055265
"RSPO4",0.693362044840305
"SERP2",0.693352917431494
"CD200",0.689475668153717
"KCNA2",0.687357362988376
"LINGO2",0.685269391687692
"DACT2",0.684854515550793
"ROBO2",0.684308453815024
"PEG3",0.681605243510498
"MPPED2",0.681080380698004
"NPAS3",0.674295345932239
"MSH5-SAPCD1",0.671306663334457
"PCDHB3",0.669283250153295
"SV2B",0.669203318203543
"ASIC2",0.667997751503335
"MAMLD1",0.665751292950541
"DIRAS3",0.663916059944913
"HES5",0.660049262905681
"SLC25A27",0.658693683878099
"ST18",0.657667926706349
"CNTNAP2",0.654525432314309
"NDNF",0.653864447822947
"HSFX1",0.651706168037013
"UNC80",0.650753198598
"UNC5D",0.650364123435778
"GABRB3",0.649884163397468
"THSD7A",0.649178141019593
"SAPCD1",0.647117997841725
"GIMAP8",0.646081166477942
"FAM124A",0.645579118071007
"KLKB1",0.645422373247519
"CDK3",0.644731233836787
"KCNQ3",0.644382113437281
"DAB1",0.64373240270383
"ZNF418",0.643452485505579
"PCDHA11",0.6434112517555
"PHACTR3",0.642352574574748
"SYT13",0.641458401765168
"TBC1D3B",0.640978851627228
"C1QTNF3-AMACR",0.638890723353713
"ST8SIA1",0.634604772871821
"LRRC4C",0.631247006478269
"WBP2NL",0.631026460759237
"NRXN1",0.630169368796824
"GLRA2",0.626267621171489
"ZNF471",0.623660416337636
"AGAP5",0.619537709795511
"DAPL1",0.61129591764343
"POU6F2",0.61072002594981
"SST",0.610675376865285
"GRM5",0.608913266885069
"TDRD9",0.608623393436093
"CBLN2",0.607629069405199
"TOX3",0.60703897807705
"RORB",0.60657902138232
"RBFOX1",0.60600365420565
"ZNF177",0.605861877667597
"EPB41L3",0.605827098350122
"CHRNE",0.604999851776908
"EPHA6",0.604573821521985
"SULF1",0.60274037229487
"MT1G",0.602721742367686
"KCNA1",0.602484232283915
"TSPYL5",0.602127788320338
"CHST1",0.601054955682719
"UNC5C",0.600782996903272
"B3GAT2",0.600147307994235
"SCN1A",0.599772082700111
"NOTCH4",0.598196152667873
"EGFL8",0.596228558178355
"DGKB",0.595818376508538
"CDH7",0.594999496806609
"RIMS2",0.594386881143137
"ZNF677",0.590939257450806
"TMEM176B",0.590636419085073
"VWC2L",0.590471328669445
"ATAT1",0.590051697132783
"PDZRN3",0.589646368460026
"FMN2",0.588158538816048
"SV2C",0.587659363896012
"PCDHB2",0.585460171850792
"RNF150",0.584776397946967
"CDH12",0.584600064147831
"PNMA6A",0.583701905672246
"AFF2",0.581662326222128
"ITM2A",0.581213123554891
"CHST5",0.580628149894706
"ADARB2",0.579945876561515
"SOX5",0.57750191082615
"MYO3A",0.57608058123125
"PCDH17",0.575257701615783
"CUZD1",0.573170896033273
"GRAP",0.572300081557832
"ZBTB16",0.57069246167817
"AQP4",0.569892975180089
"ZNF334",0.569716549413959
"ZNF662",0.566453062725913
"ZNF454",0.56132028319302
"TOX",0.559291228940265
"KIAA0408",0.557324576048373
"CD93",0.556093222545366
"ZSCAN18",0.554851549464336
"PCDHA6",0.553028551282067
"PIK3R5",0.551922422827597
"ZFP28",0.550747628126823
"ASXL3",0.549989761246517
"SCN2A",0.546573314057336
"LRRC39",0.546421368356232
"SIX3",0.543445839982148
"ADHFE1",0.542904408528777
"NGB",0.54184824324744
"GUCY2F",0.541205818148942
"LRP2",0.540812184858203
"GABRQ",0.540451352937309
"DPP10",0.537516134919824
"LINGO4",0.536116282957957
"ZNF667",0.535824093602199
"ZNF470",0.532782676752703
"RGS7BP",0.532624143267508
"CYP2C8",0.532241397601322
"ESRRG",0.531476991031285
"KRT40",0.526638271220512
"NCAM2",0.525959271855277
"HLA-DQB2",0.525605424155294
"NWD2",0.525499043995583
"GOLGA6A",0.525475075827067
"ADAMTS19",0.52333388158164
"LINGO1",0.523120716425183
"TNNI3K",0.522723419936731
"CD300A",0.522697712828122
"TMEM200C",0.522378902217207
"BAALC",0.521411061364223
"CSRNP3",0.520506759319838
"PTH2R",0.52030174478439
"NLGN1",0.519784870335681
"MAGED4B",0.518086395228128
"CHST2",0.517989460243349
"GPRIN3",0.516161401625752
"ZNF568",0.514849390633814
"OVCH2",0.512835340635829
"LPA",0.511716243965267
"ZNF582",0.505227826051092
"SPOCK3",0.503981123563338
"KCND2",0.501325012865807
"PCDHA3",0.50013942976885
"ZEB2",0.495867837404778
"FAM228A",0.495551558465891
"KCNH2",0.494777788902232
"ZNF415",0.49457272043606
"FPGT-TNNI3K",0.492826784973219
"CNTN1",0.491697238742154
"DCT",0.490929151590081
"CNKSR2",0.489336936644364
"CXXC4",0.487387804932136
"SLITRK5",0.486010292778147
"DPY19L2",0.480097889621118
"LRRC4B",0.478604206604208
"PDE7B",0.477366167835368
"GABRB2",0.47665691468776
"PPP1R16B",0.474829272213898
"RASAL3",0.474765574981616
"KCNN1",0.474066895302097
"ACHE",0.473063456922822
"GOLGA8M",0.47217117288361
"CHRFAM7A",0.470205606368723
"LAT",0.467886840161519
"ZNF883",0.466621869131684
"MARK1",0.463188443221484
"HEY2",0.462044967346651
"RNF212",0.460728413945209
"ZNF347",0.460185217666295
"CD226",0.45961102591307
"PCDHA10",0.459484680942549
"PCDHA13",0.458526775289426
"CDC42EP5",0.457408332868106
"PPP1R3C",0.457184618808772
"FSBP",0.457078235947716
"EEF1A2",0.456668419027649
"YTHDC1",0.456332139605276
"FAM220A",0.455315074262529
"PCP2",0.455142227607446
"ZSCAN23",0.454924005863821
"ZNF559-ZNF177",0.454242623018749
"ZNF653",0.454093281509771
"ATP6V0D2",0.453646070804356
"RTEL1-TNFRSF6B",0.452825621393269
"CPLX1",0.45059109836011
"NTNG1",0.449854909039664
"ASPG",0.448756751755072
"NLRP14",0.44799481731135
"CHL1",0.444967151636732
"ABCD2",0.44489660662224
"ASCL1",0.444134298186648
"FBXW12",0.443426236289772
"GCGR",0.44304890784498
"HOOK1",0.44198213676223
"SHH",0.441917612623488
"CACNA1H",0.441718661186361
"HPCA",0.441142115474918
"VWA1",0.439820812309258
"RGMA",0.439174051236106
"DOC2B",0.439036924924827
"ID4",0.438551445266883
"VSTM2L",0.435540827724019
"CHADL",0.435474242978284
"CYP26C1",0.435248851809227
"DRD2",0.433281614116052
"SOSTDC1",0.433113300163253
"LRRC24",0.432592936943868
"ZNF229",0.431770092782011
"KCNH6",0.431657854841986
"CELF3",0.42955690855142
"MAP3K10",0.427217927209869
"SLC25A48",0.42619305083977
"LGI3",0.426059859203939
"FGF14",0.425177297355968
"PTGER3",0.423153915885234
"GMNC",0.421466042463584
"PSD",0.421032456601281
"FUT9",0.420209699194607
"TTBK1",0.418753474624468
"DEGS2",0.417369905661849
"ZNF625",0.416781666226949
"KCNT1",0.415172776224622
"KCNJ11",0.414898653738082
"CELF2",0.414412435318871
"TRIM46",0.414160732577424
"MAP1LC3A",0.413282937116694
"SHC2",0.412591225262624
"ANKRD20A1",0.412010967216031
"ANKRD24",0.410960737324581
"KCNQ1",0.409835390176548
"COL9A3",0.409224421780379
"RADIL",0.408787617520546
"RCOR2",0.407619225848925
"NKD2",0.406307785250096
"DSCAML1",0.406170575974515
"TMEM176A",0.405984542173364
"APOE",0.404010497860022
"NME3",0.403829421777123
"FOLH1",0.403132763048107
"TDRP",0.40307518211699
"TMEM220",0.403015086038308
"NRG2",0.402799743296902
"SHANK3",0.402245496711964
"AVPR1A",0.400466711580181
"BIVM-ERCC5",0.400420891940899
"CX3CL1",0.399288670491711
"IKZF1",0.398907325314533
"ARPC4-TTLL3",0.398316282585531
"KIF19",0.398192300011428
"CADM2",0.398136669007051
"FUT3",0.398008573722691
"CYBB",0.397764059263437
"ZNF583",0.397532723739085
"CHKB-CPT1B",0.397518088359121
"ZNF711",0.397204467545963
"FLT4",0.397039492085048
"PDZD4",0.396153519454703
"CFAP99",0.395777419288604
"GRIN1",0.395598585007989
"RAMP1",0.394232725622611
"ZFP37",0.393933890838334
"RENBP",0.393752569142627
"RNASE6",0.393593451964758
"NEU4",0.393213204860216
"SLC45A1",0.392245269766314
"KIF1A",0.392117807781963
"ADCY2",0.391830852433259
"FAM171A2",0.391601941833403
"RNF208",0.390647671135548
"B3GALT4",0.389666457730902
"P2RY11",0.388423381236219
"RAB4B",0.387889351239288
"CLEC11A",0.387874109805768
"PCSK1N",0.387756002496175
"PLXNB3",0.387705193078956
"HBA1",0.386811104889488
"CHST10",0.386043065337381
"EPHB6",0.385821575222616
"SYT5",0.385121356790605
"PTPRT",0.384918970841387
"SLC15A3",0.384527879479946
"SCNN1D",0.383824574884961
"ENTPD2",0.383655820098685
"IL34",0.381586880111954
"HLA-DQA1",0.381570409717499
"BEGAIN",0.381378748970191
"VGF",0.380917002595628
"ANKRD65",0.380864215346516
"TNXB",0.380720513844776
"ZBTB47",0.380417588624689
"ARL6IP4",0.379834980631049
"TMEM59L",0.379380228792016
"COL25A1",0.379154197706763
"CYGB",0.378933968090368
"HCN2",0.377829679400519
"CTSD",0.377737579414373
"PALM",0.377709451607661
"TTC9B",0.376067024151001
"CRIP2",0.376061426855137
"LMTK3",0.374557383781712
"GOLGA6B",0.374485366005728
"ESPN",0.374256446654207
"SNCG",0.373200204623385
"NHLH2",0.372352755725223
"PYURF",0.372230744441872
"RGS1",0.372143366428528
"NDUFA3",0.371169763314022
"SEZ6",0.3709475458423
"B4GALNT4",0.370623433856205
"VAX2",0.370403862440325
"COL6A1",0.370175845169897
"PLSCR3",0.369981990640791
"KCNC1",0.36783243226979
"FXYD1",0.367312810825927
"COL11A2",0.36725396338373
"SPNS2",0.367165820653254
"NRTN",0.365818417262966
"KCNIP3",0.365259702891825
"CCDC154",0.364494687167769
"PANX2",0.364376652654729
"MROH6",0.364352854504471
"ADAM11",0.363896337120025
"RARRES2",0.363010981478594
"STMN3",0.362774220521612
"VPS37D",0.362676538147052
"CD180",0.362430960877518
"KNDC1",0.362185510222163
"EMID1",0.361761066077503
"RTN4RL1",0.361496956563515
"MEIS3",0.361318638328537
"PTCH2",0.36086428572035
"TDRD5",0.36057109041319
"TVP23C-CDRT4",0.359910291860859
"BCL2L2-PABPN1",0.359703074612148
"MLXIPL",0.35903209968701
"CROCC",0.358924588401067
"TPPP",0.357353776765761
"AGAP2",0.357059178677224
"SAMD11",0.356722191360586
"SH2D3C",0.356036502955642
"FCHO1",0.355585132359787
"FKBP2",0.355317419483708
"BRSK1",0.355011723857356
"FLRT1",0.354361152542915
"ATP2A3",0.353939198037928
"NDUFB7",0.353922759059013
"GPR153",0.353705320910646
"CERS1",0.353433130078302
"FCGRT",0.352973310158685
"AIFM3",0.352772757651369
"CHSY3",0.351872962194702
"FGFR4",0.351491809860258
"LIME1",0.351262208924566
"SPSB3",0.351255761630884
"PRSS27",0.351102335683289
"FAIM2",0.350903591953446
"RPS28",0.350843640354008
"KLHL17",0.350463249277663
"LY6E",0.350228706594936
"HR",0.350069342947864
"EFEMP2",0.349981300855359
"ZNF518B",0.349329099888835
"PIANP",0.349069317072888
"CASQ2",0.348906369811229
"AMH",0.348254677808786
"SH2B2",0.348090868286401
"GRM4",0.347895547539791
"ANKRD23",0.34764835834838
"ENG",0.346421303323428
"GGT1",0.346176776076468
"ZNF358",0.345969131617995
"LUZP2",0.345880719042152
"ZNF414",0.345838609598734
"CIB2",0.343789290352056
"NGFR",0.343760957545402
"RHPN1",0.343633903209267
"TUBB3",0.342851800991617
"NCF1",0.342713134161986
"SRPK3",0.342436218421016
"CARD9",0.342298792276767
"LIMS2",0.342135012115215
"VCAM1",0.34193619149842
"SIGIRR",0.341789240035445
"TNFSF12",0.341211130762268
"ZNF865",0.34100626665029
"CCDC78",0.340565236689969
"FES",0.340562866340622
"SPON2",0.340513751105862
"RCN3",0.340284500919881
"C1QTNF4",0.340255226047306
"RPL36",0.339962652027732
"APC2",0.339488130904231
"CAMSAP3",0.339482613210219
"CLCNKA",0.339316559820791
"TTYH1",0.33914668597607
"RASA4B",0.33896034128765
"ASIC3",0.338887817961503
"DNLZ",0.338777916628417
"RTN4R",0.338741810876869
"CSPG4",0.338582796239463
"CTXN1",0.338557614829032
"NEURL1",0.33842379629883
