"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0051301","cell division",553,344,275.2,"8.5e-16"
"GO:0006357","regulation of transcription by RNA polym...",2033,1114,1011.72,"3.0e-08"
"GO:0006338","chromatin remodeling",485,327,241.36,"1.1e-07"
"GO:0000398","mRNA splicing, via spliceosome",269,207,133.87,"2.9e-07"
"GO:0006281","DNA repair",519,362,258.28,"7.6e-07"
"GO:0006886","intracellular protein transport",787,490,391.65,"9.3e-07"
"GO:0000724","double-strand break repair via homologou...",154,114,76.64,"1.3e-06"
"GO:0070936","protein K48-linked ubiquitination",63,50,31.35,"1.3e-06"
"GO:0032543","mitochondrial translation",126,94,62.7,"1.5e-06"
"GO:0050821","protein stabilization",176,118,87.59,"2.3e-06"
"GO:0042274","ribosomal small subunit biogenesis",95,74,47.28,"5.2e-06"
"GO:0043161","proteasome-mediated ubiquitin-dependent ...",427,271,212.5,"1.3e-05"
"GO:0016567","protein ubiquitination",643,406,319.99,"1.9e-05"
"GO:0051123","RNA polymerase II preinitiation complex ...",54,43,26.87,"4.2e-05"
"GO:0042273","ribosomal large subunit biogenesis",67,51,33.34,"9.8e-05"
"GO:0006891","intra-Golgi vesicle-mediated transport",30,27,14.93,"1.0e-04"
"GO:0048024","regulation of mRNA splicing, via spliceo...",90,68,44.79,"0.00011"
"GO:0007059","chromosome segregation",362,250,180.15,"0.00012"
"GO:1903241","U2-type prespliceosome assembly",24,21,11.94,"0.00013"
"GO:0000281","mitotic cytokinesis",85,53,42.3,"0.00013"
